Top 50 Directors and Actors that increase ROI with less budget 
 

 
 Directors 

Sidney Sheldon
Roy Ward Baker
Philip Dunne
Fred Olen Ray
Curtis Crawford
Robert Pirosh
Gordon Parks
Philip Adrian Booth
Valerio Zanoli
David Heavener
Tay Garnett
Christopher Forbes
Robert Z. Leonard
Byron Haskin
Lorena David
Péter Engert
Carl Bessai
Robert D. Webb
Don Sharp
David Michael O'Neill
Jonas Quastel
Michael Herz
Michael Gordon
Simon Phillips
Gary Jones
Tom Gries
Nunnally Johnson
David Blyth
Kirk Douglas
Ken Hughes
Dave Schultz
Adam Randall
Sam Irvin
Daniel Zirilli
Jeffrey Gerritsen
Norman Taurog
Richard Gray
Luca Bercovici
Morgan J. Freeman
Delmer Daves
Charlton Heston
Paul Tanter
Robert Parrish
William Fruet
Claude Fournier
Michael Schroeder
Melvin Frank
Harvey Lowry
Roy Rowland
Elia Kazan

 
 Actors 

Robert Taylor
Elvis Presley
Robert Mitchum
Michael Madsen
Burt Lancaster
Gregory Peck
Eric Roberts
Michael Paré
Kirk Douglas
Donald Sutherland
Charlton Heston
Jane Fonda
Elizabeth Taylor
John Wayne
Charles Bronson
Dolph Lundgren
James Caan
Tyler Perry
Walter Matthau
Goldie Hawn
Chuck Norris
Julianne Moore
Christian Slater
Kirsten Dunst
Woody Allen
Barbra Streisand
Peter O'Toole
Ice Cube
Paul Newman
Marlon Brando
Jason Bateman
Tom Berenger
Christopher Lambert
Kevin Bacon
Dustin Hoffman
Jennifer Lopez
Matthew Broderick
Jean-Claude Van Damme
Sean Penn
Bill Murray
Drew Barrymore
Chevy Chase
Diane Keaton
Sean Connery
Robert Redford
Michael Caine
Keanu Reeves
Michael J. Fox
Michael Keaton
Burt Reynolds
